the: その
of: の
to: へ、に
and: そして
a: 一つの、1つの
in: で、中
is: は
it: それ
you: あなた
that: それ
he: 彼
was: だった
for: ために
on: に、で
are: です
with: と、と一緒に
as: として
I: 私
his: 彼の
they: 彼ら
be: である、する
at: で、に
one: 一つ
have: あります、持つ
this: これ
from: から
or: または
had: 持っていた
by: によって
not: ではない
word: 言葉
but: しかし
what: 何
some: いくつか
we: 私たちは
can: できる
out: 外
other: 他の
were: いました
all: すべて
there: そこ
when: いつ
up: 上へ
use: 使用する
your: あなたの
how: どのように
said: 言った
an: 一つの、1つの
each: それぞれの
she: 彼女
which: どちらの
do: する
their: 彼らの
time: 時間
if: もし
will: するつもり
way: 方法、道
about: 約
many: 多くの
then: それから
them: 彼ら
write: 書く
would: でしょう
like: ～のような
so: それで
these: これら
her: 彼女の
long: 長い
make: 作る
thing: 物、こと
see: 見る
him: 彼を
two: 二つ
has: あります
look: 見る
more: もっと
day: 日
could: できる
go: 行く
come: 来る
did: した
number: 数
sound: 音
no: いいえ、無い
most: ほとんどの
people: 人々
my: 私の
over: 以上、超えて
know: 知っている
water: 水
than: ～よりも
call: 呼び出し
first: 最初の
who: 誰
may: かもしれない
down: 下へ
side: 側
been: されている
now: 今
find: 見つける
any: どれか
new: 新しい
work: 仕事
part: 部分
take: 取る
get: 取得する
place: 場所
made: 作られた
live: 生きる
where: どこ
after: 後で
back: 戻る
little: 少し
only: ただ
round: 丸い
man: 男
year: 年
came: 来た
show: ショー
every: すべての
good: 良い
me: 私を
give: 与える
our: 私たちの
under: 下に
name: 名前
very: 非常に
through: 通して
just: ちょうど
form: 形
sentence: 文
great: 偉大な
think: 思う
say: 言う
help: 助ける
low: 低い
line: 線
differ: 異なる
turn: 回す
cause: 原因
much: たくさん
mean: 意味する
before: 前に
move: 動く
right: 正しい
boy: 男の子
old: 古い
too: あまりにも
same: 同じ
tell: 伝える
does: します
set: セット
three: 三つ
want: 欲しい
air: 空気
well: よく
also: また
play: 遊び
small: 小さな
end: 終わり
put: 置く
home: 家
read: 読む
hand: 手
port: 港
large: 大きな
spell: スペル
add: 追加する
even: さらに
land: 土地
here: ここ
must: 必須
big: 大きい
high: 高い
such: そのような
follow: 従う
act: 行動
why: なぜ
ask: 尋ねる
men: 男性
change: 変更
went: 行った
light: 光
kind: 種類
off: オフ
need: 必要
house: 家
picture: 画像
try: 試す
us: 私たち
again: 再び
animal: 動物
point: ポイント
mother: 母
world: 世界
near: 近く
build: 建設する
self: 自己
earth: 地球
father: 父
head: 頭
stand: 立つ
own: 自分の
page: ページ
should: すべき
country: 国
found: 見つけた
answer: 答え
school: 学校
grow: 成長する
study: 勉強する
still: まだ
